ended_at,date,weekday,duration_seconds,duration_minutes,mode,trigger
2026-06-24T09:18:00+08:00,2026-06-24,星期三,1500,25.00,倒计时,completed
2026-06-24T15:42:00+08:00,2026-06-24,星期三,2100,35.00,倒计时,completed
2026-06-24T20:15:00+08:00,2026-06-24,星期三,1200,20.00,正向计时,reset
2026-06-25T10:05:00+08:00,2026-06-25,星期四,1800,30.00,倒计时,completed
2026-06-25T11:10:00+08:00,2026-06-25,星期四,900,15.00,正向计时,reset
2026-06-25T16:36:00+08:00,2026-06-25,星期四,2700,45.00,倒计时,completed
2026-06-26T08:50:00+08:00,2026-06-26,星期五,2400,40.00,倒计时,completed
2026-06-26T14:20:00+08:00,2026-06-26,星期五,1500,25.00,倒计时,skipped
2026-06-26T19:40:00+08:00,2026-06-26,星期五,3000,50.00,正向计时,reset
2026-06-27T09:35:00+08:00,2026-06-27,星期六,1800,30.00,倒计时,completed
2026-06-27T13:25:00+08:00,2026-06-27,星期六,1200,20.00,倒计时,completed
2026-06-27T21:05:00+08:00,2026-06-27,星期六,2100,35.00,正向计时,reset
2026-06-28T10:45:00+08:00,2026-06-28,星期日,2700,45.00,倒计时,completed
2026-06-28T17:55:00+08:00,2026-06-28,星期日,1500,25.00,倒计时,completed
2026-06-29T09:12:00+08:00,2026-06-29,星期一,1200,20.00,正向计时,reset
2026-06-29T15:08:00+08:00,2026-06-29,星期一,2400,40.00,倒计时,completed
2026-06-29T20:30:00+08:00,2026-06-29,星期一,1800,30.00,倒计时,completed
2026-06-30T08:58:00+08:00,2026-06-30,星期二,1500,25.00,倒计时,completed
2026-06-30T10:20:00+08:00,2026-06-30,星期二,2100,35.00,倒计时,completed
2026-06-30T14:10:00+08:00,2026-06-30,星期二,1800,30.00,正向计时,reset
2026-06-30T16:35:00+08:00,2026-06-30,星期二,2700,45.00,倒计时,completed
2026-06-30T21:20:00+08:00,2026-06-30,星期二,1200,20.00,倒计时,skipped
2026-06-30T19:15:53+08:00,2026-06-30,星期二,7,0.12,倒计时,reset
2026-06-30T19:16:15+08:00,2026-06-30,星期二,9,0.15,正向计时,reset
